Sample	Family ID	Population	Gender	Relationship	Other Comments
RPS001		RPS	male		
RPS004		RPS	male		
RPS009		RPS	female		
RPS013		RPS	female		
RPS015		RPS	female		
RPS018		RPS	male		
RPS020		RPS	male		
RPS027		RPS	male		
RPS028		RPS	male		
RPS031		RPS	female		
UV043		BAI			
UV1003		NAK			
UV1042		MAM			
UV1043		MAM			
UV1134		ATA			
UV1196		PNG			
UV1224		PNG			
UV1230		PNG			
UV1260		MAN			
UV1263		PAS			
UV1266		PAS			
UV305		BAI			
UV500		LAV			
UV518		MUS			
UV573		NAI			
UV580		NAI			
UV886		NAK			
UV897		NAK			
UV910		NAK			
UV919		NAK			
UV923		NAK			
UV925		NAK			
UV927		NAK			
UV929		NAK			
UV931		NAK			
UV940		NAK			
UV944		NAK			
UV946		NAK			
UV952		NAK			
UV956		NAK			
UV958		NAK			
UV964		NAK			
UV971		NAK			
UV979		NAK			
UV986		NAK			